drug,bot_name
Parangipattai Choornam ,Smilax china 
Parangipattai Choornam ,Saccharum officinarum
Aavarai kiyalam ,Cassia auriculata 
Aavarai kiyalam ,Kalamadham 
Aavarai kiyalam ,Cassis fistula
Aavarai kiyalam ,Piper nigrum
Sukku kudineer ,Borassus flabellifer
Sukku kudineer ,Zingiber officinale
Sukku kudineer ,Gmelina asiatica
Sirukurinjan Kiyalam ,Gymnema sylvestre
Sirukurinjan Kiyalam ,Cocus nucifera
Parangipattai kiyalam,Smilax china 
Parangipattai kiyalam,milk 
Legyam ,Achyranthes aspera
Legyam ,Tribulus terrestris
Legyam ,Eclipta prostrata
Legyam ,Crataeva magna
Legyam ,Toddalia asiatica
Legyam ,Indigofera aspalathoides
Legyam ,Tacca pinnatifida
Legyam ,Hygrophila auriculata
Legyam ,Aegle marmelos
Legyam ,Abutilon indicum
Legyam ,Enicostemma axillare
Legyam ,Nymphaea alba 
Legyam ,Nilaimantham 
Legyam ,Evolvulus alsinoides
Legyam ,Tribulus terrestris
Legyam ,Alternanthera sessilis
Legyam ,Mimosa paniculata
Legyam ,Indigofera tinctoria
Legyam ,Cardiospermum halicacabum
Legyam ,Pongamia pinnata
Legyam ,Datura metel
Legyam ,Strychnos nux - vomica
Legyam ,Aristolochia bracteolata
Legyam ,Vetiveria zizanioides 
Legyam ,Cocculus hirsutus
Legyam ,Ficus benghalensis
Legyam ,Amorphophallus paeoniifolius
Legyam ,Terminalia arjuna
Legyam ,Thespesia populnea 
Legyam ,Canthium coromandelicum 
Legyam ,Antiaris toxicaria
Legyam ,Amorphophallus paeoniifolius
Legyam ,Saccharum officinarum
Legyam ,Vitis vinifera 
Legyam ,Terminalia catappa
Vengala sendooram ,Citrus limon
Karuvanga sendooram ,Hibiscus rosa sinensis 
Karuvanga sendooram ,Piper betle
Karuvanga sendooram ,Terminalia arjuna
Karuvanga sendooram ,Cassia auriculata 
Kaandha sendooram ,Aloe barbadensis
Kaandha sendooram ,Eclipta prostrata
Muyal Kirutham ,Justicia beddomei
Muyal Kirutham ,Muyal 
Muyal Kirutham ,Glycyrrhiza glabra
Muyal Kirutham ,Alternanthera sessilis
Muyal Kirutham ,Costus speciosus
Muyal Kirutham ,Elettaria cardamomum
Muyal Kirutham ,Syzygium aromaticum
Muyal Kirutham ,Terminalia chebula
Muyal Kirutham ,Carum copticum
Muyal Kirutham ,Cuminum cyminum
Muyal Kirutham ,Cinnamomum verum
Muyal Kirutham ,Saccharum officinarum
Muyal Kirutham ,Myristica fragrans
Muyal Kirutham ,Allium sativum
Muyal Kirutham ,Cocos nucifera
Muyal Kirutham ,milk 
Muyal Kirutham ,Ghee
Muyal Kirutham ,Amaranthus
Velleyam chendooram ,Zingiber purpureum
Velleyam chendooram ,Carum copticum
Velleyam chendooram ,Aloe barbadensis
Sadhilinga kattu ,Boswellia serrata
Sadhilinga kattu ,Cinnamomum camphora
Sadhilinga kattu ,Myristica fragrans
Sadhilinga kattu ,Phyllanthus emblica
Kool panda legyam ,Zingiber officinale
Kool panda legyam ,Piper nigrum
Kool panda legyam ,Piper longum
Kool panda legyam ,Terminalia chebula
Kool panda legyam ,Phyllanthus emblica
Kool panda legyam ,Terminalia bellirica 
Kool panda legyam ,Cuminum cyminum
Kool panda legyam ,Plumbago zeylanica
Kool panda legyam ,Mesua Ferrea 
Kool panda legyam ,Elettaria cardamomum
Kool panda legyam ,Abies spectabilis
Kool panda legyam ,Mesua nagassarium
Kool panda legyam ,Cassia senna
Kool panda legyam ,Operculina turpethum
Kool panda legyam ,Magnifera indica 
Kool panda legyam ,Hemidesmus indicus 
Kool panda legyam ,Syzygium aromaticum
Kool panda legyam ,Syzygium aromaticum
Kool panda legyam ,Cyperus rotundus
Kool panda legyam ,Cucurbita maxima
Kool panda legyam ,Piper longum
Kool panda legyam ,milk 
Kool panda legyam ,Nei 
Kool panda legyam ,Saccharum officinarum
Thalisapathiri choornam ,Costus speciosus
Thalisapathiri choornam ,Plectranthus vettiveroides
Thalisapathiri choornam ,Elettaria cardamomum
Thalisapathiri choornam ,Anacyclus pyrethrum
Thalisapathiri choornam ,Glycyrrhiza glabra
Thalisapathiri choornam ,Myristica fragrans
Thalisapathiri choornam ,Clerodendrum inerme
Thalisapathiri choornam ,Operculina turpethum
Thalisapathiri choornam ,Croton tiglium
Thalisapathiri choornam ,Jasminum grandiflorum
Thalisapathiri choornam ,Syzygium aromaticum
Thalisapathiri choornam ,Clerodendrum serratum
Thalisapathiri choornam ,Terminalia bellirica 
Thalisapathiri choornam ,Terminalia chebula
Thalisapathiri choornam ,Curcuma angustifolia
Thalisapathiri choornam ,Oryza sativa
Thalisapathiri choornam ,Piper nigrum
Thalisapathiri choornam ,Cyperus rotundus
Thalisapathiri choornam ,Phyllanthus emblica
Thalisapathiri choornam ,Cinnamomum tamala
Thalisapathiri choornam ,Piper longum
Thalisapathiri choornam ,Hemidesmus indicus 
Thalisapathiri choornam ,Gossypium herbaceum
Thalisapathiri choornam ,Cuminum cyminum
Thalisapathiri choornam ,Abies spectabilis
Thalisapathiri choornam ,Saccharum officinarum
Vilvathy thaylum ,Aegle marmelos
Vilvathy thaylum ,sesamum indicum 
Vilvathy thaylum ,Santalum album
Vilvathy thaylum ,Glycyrrhiza glabra
Rasa parpam ,Leucas aspera
Rasa parpam ,Phyllanthus emblica
Megha rasangam ennai ,Ricinus communis
Megha rasangam ennai ,Bacopa monnieri
Megha rasangam ennai ,Citrullus vulgaris
Megha rasangam ennai ,Centella asiatica
Megha rasangam ennai ,Mollugo lotoides
Megha rasangam ennai ,Phyllanthus reticulatus
Megha rasangam ennai ,Capparis zeylanica
Megha rasangam ennai ,Vitex negundo
Megha rasangam ennai ,Cassia auriculata 
Megha rasangam ennai ,Azadirachta indica
Megha rasangam ennai ,Cassia senna
Megha rasangam ennai ,Clerodendrum inerme
Megha rasangam ennai ,Glycyrrhiza glabra
Megha rasangam ennai ,Cuminum cyminum
Megha rasangam ennai ,Nigella sativa 
Megha rasangam ennai ,Abies spectabilis
Megha rasangam ennai ,Aconitum heterophyllum
Megha rasangam ennai ,Nardostachys grandiflora
Megha rasangam ennai ,Abies spectabilis
Megha rasangam ennai ,Zingiber officinale
Megha rasangam ennai ,Piper nigrum
Megha rasangam ennai ,Piper longum
Megha rasangam ennai ,Carum copticum
Megha rasangam ennai ,Smilax china 
Megha rasangam ennai ,Sesamum indicum
Karuvanga parpam ,Solanum anguivi
Karuvanga parpam ,Piper Cubeba
Sarva megha legyam ,Piper nigrum
Sarva megha legyam ,Papaver somniferum
Sarva megha legyam ,Mucuna pruriens
Sarva megha legyam ,Saccharum officinarum
Kareeya chendooram ,Abrus precatorius
Nannari nilapanai nei ,Curculigo orchioides
Nannari nilapanai nei ,Hemidesmus indicus 
Nannari nilapanai nei ,Acacia catechu
Nannari nilapanai nei ,Pongamia pinnata
Nannari nilapanai nei ,Lannea coromandelica
Nannari nilapanai nei ,Azima tetracantha
Nannari nilapanai nei ,Nei  
Nannari kirutham ,Hemidesmus indicus 
Nannari kirutham ,Zingiber officinale
Nannari kirutham ,Borassus flabellifer
Nannari kirutham ,Nei 
Megangalukku kalai ,Anisomeles malabarica
Megangalukku kalai ,Oryza sativa
Megangalukku kalai ,Sesamum indicum
Megha podi ,Crataeva magna
Megha podi ,Cinnamomum verum
Talaga parpam ,Thalagam
Talaga parpam ,Luffa acutangula
Vila ilai karkam ,Limonia acidissima
Vila ilai karkam ,Cyperus rotundus
Vila ilai karkam ,Phylanthus Amarus
Vila ilai karkam ,Vellatu paal 
Vila ilai karkam ,Cassia auriculata 
Vila ilai karkam ,Magnifera indica 
Vila ilai karkam ,Acacia nilotica
Vila ilai karkam ,Sesamum indicum
Vila ilai karkam ,Tribulus terrestris
Vila ilai karkam ,Borassus flabellifer
Vila ilai karkam ,Areca catechu
Vila ilai karkam ,Cassia auriculata 
Vila ilai karkam ,Sida acuta
Vila ilai karkam ,Butter milk
Dooru chooranam ,Tamarindus indica
Talaga parpam ,Thalagam
Talaga parpam ,Tamarindus indica
,Musa paradisiaea
,Borassus flabellifer
Mandura parpam,Croton tiglium
Mandura parpam,Piper nigrum
Mandura parpam,Terminalia chebula
Mandura parpam,Phyllanthus emblica
Mandura parpam,Saccharum officinarum
Ayakantha senthuram,Aloe barbadensis
Sagalamega nei,Abrus precatorius
Sagalamega nei,Vellatu paal 
Sagalamega nei,milk 
Thalaga chenduram ,Euphorbia ligularia
Thalaga chenduram ,Thalagam
Vanga parpam,Koli muttai odu 
Vanga parpam,peranda parapam
Thambira parpam,Allium sativum
Thambira parpam,Triticum aestivum
Shakuntala Rasayanam,Elettaria cardamomum
Shakuntala Rasayanam,Myristica fragrans
Shakuntala Rasayanam,Cinnamomum camphora
Shakuntala Rasayanam,Syzygium aromaticum
Shakuntala Rasayanam,Piper nigrum
Shakuntala Rasayanam,Zingiber officinale
Shakuntala Rasayanam,Piper longum
Shakuntala Rasayanam,Saccharum officinarum
Shakuntala Rasayanam,Apis mellifera
Thalaga kattu,Thalagam
Thalaga kattu,Leucas aspera
Pavala Chunnam,Justicia beddomei
Vanga Chunnam,Aloe barbadensis
Vanga Chunnam,Terminalia chebula
Vanga Chunnam,Calotropis gigantea
Vanga Chunnam,Peruandam 
Sathuvanga Chenduram,Calotropis gigantea
Neerizhivu Kyalam,Cassia auriculata 
Neerizhivu Kyalam,Kalmadham
Neerizhivu Kyalam,Cassis fistula
Neerizhivu Kyalam,Cassia auriculata 
Neerizhivu Kyalam,Cassis fistula
Neerizhivu Kyalam,Syzygium cumini
Neerizhivu Kyalam,Salacia reticulata
Neerizhivu Kyalam,Cyperus rotundus
Neerizhivu Kyalam,Costus speciosus
Neerizhivu Kyalam,Terminalia arjuna
Neerizhivu Kyalam,Cassia auriculata 
Neerizhivu Kyalam,Butter milk
Neerizhivu Kyalam,Curcuma zedoaria
Neerizhivu Kyalam,Ziziphus mauritiania
Neerizhivu Kyalam,Jasminum grandiflorum
Neerizhivu Kyalam,Limonia acidissima
Neerizhivu Kyalam,Strychnos potatorum
Neerizhivu Kyalam,Terminalia chebula
Neerizhivu Kyalam,Limonia acidissima
Neerizhivu Kyalam,Cassia auriculata 
Kadhagadhi Thailam,Strychnos potatorum
Kadhagadhi Thailam,sesamum indicum 
Kadhagadhi Thailam,Coscinium fenestratum
Kadhagadhi Thailam,curcuma longa 
Kadhagadhi Thailam,Terminalia chebula
Kadhagadhi Thailam,Phyllanthus emblica
Kadhagadhi Thailam,Terminalia bellirica 
Kadhagadhi Thailam,Strychnos potatorum
Kadhagadhi Thailam,Santalum album
Kadhagadhi Thailam,Aegle marmelos
Kadhagadhi Thailam,Symplocos racemosa
Kadhagadhi Thailam,Acacia catechu
Kadhagadhi Thailam,Acacia catechu
Kadhagadhi Thailam,Gossypium herbaceum
Kadhagadhi Thailam,Abrus precatorius
Kadhagadhi Thailam,Magnifera indica 
Kadhagadhi Thailam,Kavikkal
Kadhagadhi Thailam,Musa paradisiaea
Kadhagadhi Thailam,Aristolochia bracteolata
Kadhagadhi Thailam,Karpoora Silasathu
Kadhagadhi Thailam,Gandhakkal
Sirukumari Thailam,Aloe barbadensis
Sirukumari Thailam,milk 
Sirukumari Thailam,Pachai karpooram
Sirukumari Thailam,sesamum indicum 
Sirukumari Thailam,Costus speciosus
Sirukumari Thailam,Rubia cordifolia 
Sirukumari Thailam,Santalum album
Sirukumari Thailam,Zingiber officinale
Sirukumari Thailam,Piper nigrum
Sirukumari Thailam,Piper longum
Sirukumari Thailam,Terminalia chebula
Sirukumari Thailam,Phyllanthus emblica
Sirukumari Thailam,Terminalia bellirica 
Sirukumari Thailam,Myristica fragrans
Sirukumari Thailam,Glycyrrhiza glabra
Sirukumari Thailam,Nardostachys grandiflora
Sirukumari Thailam,Plectranthus vettiveroides
Sirukumari Thailam,Cyperus rotundus
Sirukumari Thailam,Grandhi thagaram
Sirukumari Thailam,Hemidesmus indicus 
Sirukumari Thailam,Curcuma zedoaria
Sirukumari Thailam,Rasanjanam
Sirukumari Thailam,Nymphaea alba 
Sirukumari Thailam,Clerodendrum inerme
madhumegam marunthu,Ficus benghalensis
madhumegam marunthu,Curcuma zedoaria
madhumegam marunthu,Terminalia chebula
madhumegam marunthu,Phyllanthus emblica
madhumegam marunthu,Terminalia bellirica 
madhumegam marunthu,Artocarpus heterophyllus
madhumegam marunthu,Curcuma longa 
madhumegam marunthu,Zingiber officinale
madhumegam marunthu,Albizia amara
madhumegam marunthu,Syzygium cumini
madhumegam marunthu,Amarantus tristis
nannari nilapanai nei,Curculigo orchioides
nannari nilapanai nei,Hemidesmus indicus 
nannari nilapanai nei,Acacia catechu
nannari nilapanai nei,Pongamia pinnata
nannari nilapanai nei,Lannea coromandelica
nannari nilapanai nei,Azima tetracantha
gandha parpam,Gloriosa superba 
,gandham
gandha parpam,Plumbago zeylanica
gandha parpam,Acalypha indica
gandha parpam,Tephrosia purpurea
kotasalakkuligai,Vitex negundo
,korosanai
,komayam
,pavalam
,thalagam
kotasalakkuligai,Zingiber officinale
kotasalakkuligai,Piper nigrum
kotasalakkuligai,Piper longum
kotasalakkuligai,Terminalia chebula
kotasalakkuligai,Phyllanthus emblica
kotasalakkuligai,Terminalia bellirica 
kotasalakkuligai,Costus speciosus
kotasalakkuligai,Coccinia grandis
kotasalakkuligai,Curculigo orchioides
kotasalakkuligai,Ziziphus mauritiania
kotasalakkuligai,Leucas aspera
kotasalakkuligai,Jasminum grandiflorum
kotasalakkuligai,Cannabis sativa
kotasalakkuligai,Andrographis echioides
kotasalakkuligai,Alangium salvifolium
,pandriyin moothirai
,koli muttaikaru
,kuyilmuttaikaru
sambiranipoo,Myristica fragrans
sambiranipoo,Glycyrrhiza glabra
sambiranipoo,Zingiber officinale
sambiranipoo,Piper nigrum
sambiranipoo,Piper longum
, punugu sattam
,sambiranipathangam
,Leucas aspera
sambiranipoo,Terminalia chebula
sambiranipoo,Phyllanthus emblica
sambiranipoo,Terminalia bellirica 
sambiranipoo,Piper Cubeba
sambiranipoo,Elettaria cardamomum
sambiranipoo,Buchanania lanzan
sambiranipoo,Syzygium aromaticum
sambiranipoo,Oldenlandia unbellata
sambiranipoo,Coscinium fenestratum
sambiranipoo,Plumbago zeylanica
serankottai legiyam,Semecarpus anacardium
serankottai legiyam,Borassus flabellifer
serankottai legiyam,Zingiber officinale
serankottai legiyam,Piper nigrum
serankottai legiyam,Piper longum
serankottai legiyam,Syzygium aromaticum
serankottai legiyam,Pimpinella anisum
serankottai legiyam,Cuminum cyminum
sambiranipoo,Boswellia serrata
,venrasam
sambiranipoo,Myristica fragrans
sambiranipoo,Piper Cubeba
sambiranipoo,Buchanania lanzan
sambiranipoo,Syzygium aromaticum
sambiranipoo,Oldenlandia umbellata
sambiranipoo,Coscinium fenestratum
sambiranipoo,Chrysanthemum indicum
sambiranipoo,Plumbago zeylanica
sambiranipoo,Indigofera aspalathoides
kodasalak kulikai,Terminalia chebula
kodasalak kulikai,Phyllanthus emblica
kodasalak kulikai,Terminalia bellirica 
kodasalak kulikai,Zingiber officinale
kodasalak kulikai,Piper nigrum
kodasalak kulikai,Piper longum
,pavalam
,kolamoothiram
kodasalak kulikai,Costus speciosus
kodasalak kulikai,Coccinia grandis
kodasalak kulikai,Curculigo orchioides
kodasalak kulikai,Cyperus rotundus
kodasalak kulikai,Andrographis echioides
kodasalak kulikai,Aridaram 
