id,bot_name
1,smilax china
2,tinospora cordifolia
3,cassia auriculata
4,kalamadham
5,cassis fistula
6,trikatu
7,borassus flabellifer
8,gmelina asiatica
9,gymnema sylvestre
10,cocus nucifera
11,milk
12,enicostemma axillare
13,achyranthes aspera
14,tribulus terrestris
15,eclipta prostrata
16,crataeva magna
17,toddalia asiatica
18,indigofera aspalathoides
19,tacca pinnatifida
20,hygrophila auriculata
21,aegle marmelos
22,abutilon indicum
23,nymphaea alba
24,nilaimantham
25,evolvulus alsinoides
26,alternanthera sessilis
27,mimosa paniculata
28,indigofera tinctoria
29,cardiospermum halicacabum
30,pongamia pinnata
31,datura metel
32,strychnos nux - vomica
33,aristolochia bracteolata
34,vetiveria zizanioides
35,cocculus hirsutus
36,ficus benghalensis
37,amorphophallus paeoniifolius
38,terminalia arjuna
39,thespesia populnea
40,canthium coromandelicum
41,antiaris toxicaria
42,vitis vinifera
43,terminalia catappa
44,justicia beddomei
45,mimosa rubicaulis
46,solanum trilobatum
47,erythrina variegata
48,jasminum malabaricum
49,ocimum sanctum
50,solanum surattense
51,alpinia galanga
52,triphala
53,terminalia bellirica
54,saccharum officinarum
55,acorus calamus
56,oryza sativa
57,citrus limon
58,hibiscus rosa sinensis
59,piper betle
60,aloe barbadensis
61,syzygium cumini
62,oxalis corniculata
63,thayir (curd)
64,nei
65,glycyrrhiza glabra
66,elettaria cardamomum
67,costus speciosus
68,syzygium aromaticum
69,symplocos racemosa
70,nelumbo nucifera
71,anacardium occidentale
72,wrightia - tinctoria
73,bombax malabaricum
74,phonex dactilifera
75,santalum album
76,mesua nagassarium
77,eicus racemosa
78,punica granatum
79,curculigo orchioides
80,embelia ribes
81,carum copticum
82,picrorhiza scrophulariiflora
83,honey
84,anacyclus pyrethrum
85,piper cubeba
86,muyal
87,cuminum cyminum
88,cinnamomum verum
89,myristica fragrans
90,allium sativum
91,cocos nucifera
92,ghee
93,amaranthus
94,clerodendrum inerme
95,tephrosia spinosa
96,vitex negundo
97,withania somnifera
98,alangium salvifolium
99,plumbago zeylanica
100,cissus quadrangularis
101,ferula asafoetida
102,croton tiglium
103,euphorbia ligularia
104,thalagam
105,dryopteris filix-mas
106,aconitum napellus
107,cedrus deodara
108,butea monospermea
109,allium cepa
110,portulaca quadrifida
111,madhuca longifolia
112,curcuma longa
113,zingiber purpureum
114,boswellia serrata
115,cinnamomum camphora
116,leucas aspera
117,black pepper
118,nigella sativa
119,clerodendrum serratum
120,hyoscyamus niger
121,curcuma angustifolia
122,abies spectabilis
123,cinnamomum tamala
124,momordica charantia
125,gossypium herbaceum
126,bacopa monnieri
127,phyla nodiflora
128,mukia maderaspatana
129,aconitum heterophyllum
130,apis mellifera
131,mesua ferrea
132,cassia senna
133,operculina turpethum
134,magnifera indica
135,hemidesmus indicus
136,cyperus rotundus
137,cucurbita maxima
138,plectranthus vettiveroides
139,jasminum grandiflorum
140,sesamum indicum
141,albizia lebbeck
142,curcuma zedoaria
143,barleria cristata
144,coriandrum sativum
145,nardostachys grandiflora
146,manilkara hexandra
147,orthosiphon stamineus
148,crocus sativus
149,ricinus communis
150,citrullus vulgaris
151,centella asiatica
152,mollugo lotoides
153,phyllanthus reticulatus
154,capparis zeylanica
155,azadirachta indica
156,solanum anguivi
157,anda oodu
158,celastrus paniculatus
159,papaver somniferum
160,mucuna pruriens
161,abrus precatorius
162,acacia catechu
163,lannea coromandelica
164,azima tetracantha
165,anisomeles malabarica
166,luffa acutangula
167,acalypha indica
168,limonia acidissima
169,phylanthus amarus
170,vellatu paal
171,acacia nilotica
172,areca catechu
173,sida acuta
174,butter milk
175,tamarindus indica
176,mimusops elengi
177,musa paradisiaea
178,calotropis gigantea
179,koli muttai odu
180,peranda parapam
181,triticum aestivum
182,peruandam
183,muttaivellai
184,anthocephalus cadamba
185,kalmadham
186,salacia reticulata
187,ziziphus mauritiania
188,strychnos potatorum
189,kalluppu
190,valaiyaluppu
191,mannuppu
192,vediuppu
193,attuppu
194,coscinium fenestratum
195,kavikkal
196,karpoora silasathu
197,gandhakkal
198,pachai karpooram
199,rubia cordifolia
200,grandhi thagaram
201,rasanjanam
202,chloris barbata
203,sembu
204,kendhi
205,copper sulphate
206,vayirachendooram
207,kaariyam
208,poonagam
209,hydnocarpus laurifolia
210,pavonia zeylanica
211,manihot esculenta
212,ipomoea batatas
213,koovilum
214,ipomoea batatasÂ (l.) lam.
215,adenanthera pavonina
216,oldenlandia umbellata
217,artocarpus heterophyllus
218,albizia amara
219,amarantus tristis
220,hedyotis corymbosa
221,korosanai
222,gloriosa superba
223,gandham
224,tephrosia purpurea
225,komayam
226,pavalam
227,coccinia grandis
228,cannabis sativa
229,andrographis echioides
230,pandriyin moothirai
231,koli muttaikaru
232,kuyilmuttaikaru
233,punugu sattam
234,sambiranipathangam
235,buchanania lanzan
236,oldenlandia unbellata
237,semecarpus anacardium
238,pimpinella anisum
239,venrasam
240,chrysanthemum indicum
241,kolamoothiram
242,aridaram
